positiv;26.07.2016 08:46;The latest The Nick Black Daily!  Thanks to   sdcc dncinphl;[{u'indices': [94, 99], u'text': u'sdcc'}, {u'indices': [100, 109], u'text': u'dncinphl'}]
positiv;26.07.2016 09:00;The latest The Norfolk Computing Daily!  Thanks to    demsinphilly sdcc;[{u'indices': [109, 122], u'text': u'demsinphilly'}, {u'indices': [123, 128], u'text': u'sdcc'}]
neutral;26.07.2016 09:30;The latest The Rodney Meeks Daily!  thewalkingdead sdcc2016;[{u'indices': [59, 74], u'text': u'thewalkingdead'}, {u'indices': [75, 84], u'text': u'sdcc2016'}]
positiv;26.07.2016 09:31;The latest The Screenweek Network Daily!  Thanks to    sdcc2016 doctorstrange;[{u'indices': [112, 121], u'text': u'sdcc2016'}, {u'indices': [122, 136], u'text': u'doctorstrange'}]
positiv;26.07.2016 09:18;The latest The Steven Elarde Daily!  Thanks to  demsinphilly sdcc;[{u'indices': [81, 94], u'text': u'demsinphilly'}, {u'indices': [95, 100], u'text': u'sdcc'}]
neutral;26.07.2016 08:53;The latest The Tech News from AHB IT Solutions!  sdcc artificialintelligence;[{u'indices': [72, 77], u'text': u'sdcc'}, {u'indices': [78, 101], u'text': u'artificialintelligence'}]
neutral;26.07.2016 09:32;The Originals Daniel Makes Bottle Noises in Josephs Ear SDCC 2016:  via ;[]
neutral;26.07.2016 09:22;"The Originals Phoebe Tonkin Pikachu Pick Up Line ""Joke"" SDCC 2016:  via ";[]
neutral;26.07.2016 09:04;TheWalkingDead season 7 trailer is revealed at SDCC SDCC2016:  ;[{u'indices': [0, 15], u'text': u'TheWalkingDead'}, {u'indices': [48, 53], u'text': u'SDCC'}, {u'indices': [54, 63], u'text': u'SDCC2016'}]
positiv;26.07.2016 09:08;"This coin-op inspired TMNT set is one of my favorite things I picked up at SDCC this year.

turtlepower SDCC2016 ";[{u'indices': [75, 80], u'text': u'SDCC'}, {u'indices': [93, 105], u'text': u'turtlepower'}, {u'indices': [106, 115], u'text': u'SDCC2016'}]
positiv;26.07.2016 09:03;This gone be hella good  ;[]
positiv;26.07.2016 08:45;This is true love ;[]
neutral;26.07.2016 09:25;"Thomas &amp; Friends Kids 2016 SDCC - San Diego Comic Con Toy Trains Minis &amp; Cosplay - Family Toy Review:  via";[]
neutral;26.07.2016 08:57;Top Beauty EverAfterHigh Cedar Wood Marionette Doll SDCC 2016 Exclusive B  Dolls Gifts ;[{u'indices': [0, 4], u'text': u'Top'}, {u'indices': [5, 12], u'text': u'Beauty'}, {u'indices': [13, 27], u'text': u'EverAfterHigh'}, {u'indices': [50, 55], u'text': u'Doll'}, {u'indices': [102, 108], u'text': u'Dolls'}, {u'indices': [109, 115], u'text': u'Gifts'}]
neutral;26.07.2016 08:52;Video: Wentworth's interview with TV Line SDCC2016 ;[{u'indices': [42, 51], u'text': u'SDCC2016'}]
neutral;26.07.2016 09:15;"Videos of the Gotham cast at SDCC2016 
 ";[{u'indices': [14, 21], u'text': u'Gotham'}, {u'indices': [30, 39], u'text': u'SDCC2016'}]
neutral;26.07.2016 09:20;"Vikings Season 4 SDCC Trailer Breakdown: Bjorn Sails To Mediterranean; Captured Ragnar To Die? ";[]
neutral;26.07.2016 09:13;Watch the full SDCC Call of Duty: Infinite Warfare panel  ;[]
neutral;26.07.2016 09:00;Watch the full STAR TREK 50th Anniversary Comic-Con panel  TheMoviesExtras ;[{u'indices': [82, 98], u'text': u'TheMoviesExtras'}]
neutral;26.07.2016 09:00;Watch the full STAR TREK 50th Anniversary Comic-Con panel  TheMoviesExtras ;[{u'indices': [82, 98], u'text': u'TheMoviesExtras'}]
neutral;26.07.2016 08:58;wbsdcc WonderWoman movie character Queen Hippolyta's (Connie Neilsen) costume sdcc2016 ;[{u'indices': [0, 7], u'text': u'wbsdcc'}, {u'indices': [8, 20], u'text': u'WonderWoman'}, {u'indices': [80, 89], u'text': u'sdcc2016'}]
neutral;26.07.2016 09:10;We record tonight! The focus will be ALL the SDCC trailers and news as well as the WWE Draft and Battleground... ;[]
neutral;26.07.2016 09:24;When does that come out for the rest of us? ;[]
positiv;26.07.2016 09:18;where is the SpiderManHomecoming footage from SDCC ? I wanna see it! Please don't make me watch the off-screen phone footage ;[{u'indices': [13, 33], u'text': u'SpiderManHomecoming'}, {u'indices': [47, 52], u'text': u'SDCC'}]
positiv;26.07.2016 08:54;Where the heck are TheOriginals and PrisonBreak panels? I need to see them! SDCC2016;[{u'indices': [19, 32], u'text': u'TheOriginals'}, {u'indices': [37, 49], u'text': u'PrisonBreak'}, {u'indices': [78, 87], u'text': u'SDCC2016'}]
positiv;26.07.2016 09:31;Whoa my two hero's met that's hype! ;[]
neutral;26.07.2016 09:03;Wonder Woman and Justice League crash SDCC ;[]
neutral;26.07.2016 09:03;Wonder Woman and Justice League crash SDCC: In the last couple of years, Marvel has had the upper hand at SDC... ;[]
neutral;26.07.2016 08:55;'Wonder Woman' movie costumes on display at SDCC 2016 - CNE...  |  ;[]
positiv;26.07.2016 09:21;Wow! This is amazing, The adventures of SDCC sung to the Disney's Beauty and the Beast song Little Town (Belle's... ;[]
positiv;26.07.2016 08:45;"Wow. Just, wow...

Fallout TV Series Revealed at SDCC ";[{u'indices': [19, 27], u'text': u'Fallout'}, {u'indices': [50, 55], u'text': u'SDCC'}]
neutral;26.07.2016 08:51;Yep. Back in the NYC. So long SDCC2016 ;[{u'indices': [30, 39], u'text': u'SDCC2016'}]
positiv;26.07.2016 08:54;Yo this looks awesome  ;[]
negativ;26.07.2016 08:52;Yo what the hell? ;[]
neutral;26.07.2016 09:20;you know trailers are coming whenever the SDCC happens;[]
positiv;26.07.2016 09:24;You're the Queen of cosplay  ;[]
negativ;27.07.2016 11:55;"   if it is over, maybe. But if temporary, she ll die&amp;come back.But wasnt announced  sdcc like 4tvd.";[]
positiv;27.07.2016 11:53;   Love this print we got at SDCC! We could have went with the one with the Speedforce ;[]
neutral;27.07.2016 10:31;"  
What were you thinking  ???
Grimm SDCC2016 

Looks like fun out there ";[{u'indices': [41, 47], u'text': u'Grimm'}, {u'indices': [48, 57], u'text': u'SDCC2016'}]
neutral;27.07.2016 11:05;  someone on Facebook said December but here's a link ;[]
positiv;27.07.2016 11:30; : A cool, brandable domain name perfect for your next VR project SDCC2016 PokemonGO ;[{u'indices': [78, 81], u'text': u'VR'}, {u'indices': [90, 99], u'text': u'SDCC2016'}, {u'indices': [100, 110], u'text': u'PokemonGO'}]
neutral;27.07.2016 10:40; Are you posting the SDCC2016 GOT panel on YouTube?;[{u'indices': [35, 44], u'text': u'SDCC2016'}]
negativ;27.07.2016 10:24; Because of the way that I was treated by his 'fans' the other day when I didn't want it to debut at SDCC.;[]
neutral;27.07.2016 12:00; Deals Comics OUTCAST 19 SDCC 2016 SAN DIEGO COMIC CON EXCLUSIVE IMAGE COMIC BOOK NEW 1;[{u'indices': [24, 30], u'text': u'Deals'}, {u'indices': [31, 38], u'text': u'Comics'}]
neutral;27.07.2016 11:29; i usually love your recordings of the panels at sdcc, any reason why you went for hights instead of full panels this year ?;[]
neutral;27.07.2016 11:37; is here with his SDCC Reaction Videos!  ;[{u'indices': [32, 37], u'text': u'SDCC'}]
neutral;27.07.2016 11:43;" it's from his solo panel at SDCC.
But I got this gif from Tumblr :)";[]
neutral;27.07.2016 11:05; it's not out yet this is just a GIF I found on Facebook/tumblr of a recording someone did at SDCC;[]
positiv;27.07.2016 11:47; Just wanted to say another big thank you to you, for pulling together all the SDCC videos in one handy go-to place. You're awesome!;[]
positiv;27.07.2016 10:09; Mango you totally need to watch the SDCC 2016 panel, it's fucking amazing oh my god.;[]
neutral;27.07.2016 11:42; ok I'm going to share something weird but I actually have a suspicion that streamed from this SDCC. I think Marie might;[]
neutral;27.07.2016 11:31; only the part they showed at sdcc ;[]
negativ;27.07.2016 11:58; SDCC scared them. So they're manufacturing things to hate about the cast. If it wasn't so sad, it would be funny.;[]
neutral;27.07.2016 10:38; So ladies. What do you think of the first JusticeLeague trailer released from SDCC? ;[{u'indices': [56, 70], u'text': u'JusticeLeague'}]
positiv;27.07.2016 09:55; Thanks buddy! I appreciate this very much. You are the man! Glad you had a good time at SDCC. =);[]
neutral;27.07.2016 10:14; what I was talking to you about  ;[]
neutral;27.07.2016 11:26;""" JusticeLeague "" Special SanDiegoComicCon Footage  SDCC2016";[{u'indices': [2, 16], u'text': u'JusticeLeague'}, {u'indices': [27, 44], u'text': u'SanDiegoComicCon'}, {u'indices': [77, 86], u'text': u'SDCC2016'}]
neutral;27.07.2016 11:57;""" KongSkullIsland "" Official SanDiegoComicCon Trailer  SDCC2016";[{u'indices': [2, 18], u'text': u'KongSkullIsland'}, {u'indices': [30, 47], u'text': u'SanDiegoComicCon'}, {u'indices': [80, 89], u'text': u'SDCC2016'}]
neutral;27.07.2016 10:57;""" WonderWoman "" SanDiegoComicCon Trailer  SDCC2016";[{u'indices': [2, 14], u'text': u'WonderWoman'}, {u'indices': [17, 34], u'text': u'SanDiegoComicCon'}, {u'indices': [67, 76], u'text': u'SDCC2016'}]
neutral;27.07.2016 10:54;"""I love Lucy."" - Elijah Wood AshVsEvilDead SDCC2016  ";[{u'indices': [29, 43], u'text': u'AshVsEvilDead'}, {u'indices': [44, 53], u'text': u'SDCC2016'}]
positiv;27.07.2016 10:31;*keeps the steven universe sdcc panel on repeat because tHE MUSIC IS BEAUTIFUL*;[]
positiv;27.07.2016 11:33;".  Speaking of SDCC2016 movie reveals, WonderWoman brought a knife to a gun fight &amp; still kicked major butt!";[{u'indices': [40, 49], u'text': u'SDCC2016'}, {u'indices': [65, 77], u'text': u'WonderWoman'}]
positiv;27.07.2016 11:45;. shares his insight on supernatural! A rare, serious answer! SDCC  ;[{u'indices': [38, 51], u'text': u'supernatural'}, {u'indices': [77, 82], u'text': u'SDCC'}]
neutral;27.07.2016 12:06;. subtly refers to Spider-Man as a second-tier Marvel Studios hero in his SDCC recap. He ain't wrong. ;[{u'indices': [87, 92], u'text': u'SDCC'}]
neutral;27.07.2016 10:13;....what ;[]
neutral;27.07.2016 11:09;[NO SPOILERS] This Petyr Baelish cosplay from SDCC via /r/gameofthrones  gameofthrones ;[{u'indices': [96, 110], u'text': u'gameofthrones'}]
neutral;27.07.2016 11:04;[NO SPOILERS] This Petyr Baelish cosplay from SDCC: ;[]
neutral;27.07.2016 11:40;[PHOTO] Philip Glenister and Wrenn Schmidt during their SiriusXM interview at SDCC2016 ;[{u'indices': [78, 87], u'text': u'SDCC2016'}]
neutral;27.07.2016 11:13;[Photographer] My cosplay pictures from SDCC 2016 :D ;[]
neutral;27.07.2016 10:46;[Self] Here are some of my SDCC2016 pics of my Mandalorian Bounty Hunter ;[]
neutral;27.07.2016 10:01;[SeriesOnDay] Panel de The Magicians SDCC 2016  ;[]
neutral;27.07.2016 09:53;"[VIDEO] Watch the cast enjoying the  booth at SDCC2016! Outcast 
 ";[{u'indices': [55, 64], u'text': u'SDCC2016'}, {u'indices': [66, 74], u'text': u'Outcast'}]
neutral;27.07.2016 11:40;2016 SDCC - Hasbro G.I. Joe Product Booth Images - - Action Figures Toys News   via ;[]
neutral;27.07.2016 12:09;5 reveals from TheWalkingDead panel:  sdcc ;[{u'indices': [15, 30], u'text': u'TheWalkingDead'}, {u'indices': [62, 67], u'text': u'sdcc'}]
negativ;27.07.2016 11:20;"A giant monster,  AND JohnGoodman?
Why, I do believe the director is hitting on me. ";[{u'indices': [37, 49], u'text': u'JohnGoodman'}]
positiv;27.07.2016 10:43;Adorable.. Little Regina is so cute ;[]
negativ;27.07.2016 10:15;After driving away more fans than gaining new ones w/ their fanboy pandering, this is AOS' last resort... more sex! ;[]
neutral;27.07.2016 09:47;"After this SDCC, sat back &amp; figured out that I've been a LateAdopter of the coolest TV shows ever. StarTrek TheWire GameOfThrones GOT";[{u'indices': [11, 16], u'text': u'SDCC'}, {u'indices': [62, 74], u'text': u'LateAdopter'}, {u'indices': [105, 114], u'text': u'StarTrek'}, {u'indices': [115, 123], u'text': u'TheWire'}, {u'indices': [124, 138], u'text': u'GameOfThrones'}, {u'indices': [139, 143], u'text': u'GOT'}]
neutral;27.07.2016 10:00;AgentsofSHIELD cast SDCC2016 ;[{u'indices': [0, 15], u'text': u'AgentsofSHIELD'}, {u'indices': [21, 30], u'text': u'SDCC2016'}]
neutral;27.07.2016 10:19;All SDCC Movie Trailers movies news ;[{u'indices': [24, 31], u'text': u'movies'}, {u'indices': [32, 37], u'text': u'news'}]
positiv;27.07.2016 12:06;All the Awesome Announcements You Might've Missed at SDCC This Weekend.. Related Articles: ;[]
negativ;27.07.2016 11:59;"All the post-SDCC SW news has been either ""No shit"" or ""No, that's shit."" Or sometimes both!";[]
positiv;27.07.2016 11:43;ALL THE SDCC FEELS HOMG;[]
positiv;27.07.2016 12:10;Amazing work ;[]
neutral;27.07.2016 10:14;"AndrewLincoln, JeffreyDeanMorgan, StevenYeun, NormanReedus &amp; filmmaker Kevin Smith at IMDb exclusive SDCC2016. ";[{u'indices': [0, 14], u'text': u'AndrewLincoln'}, {u'indices': [16, 34], u'text': u'JeffreyDeanMorgan'}, {u'indices': [36, 47], u'text': u'StevenYeun'}, {u'indices': [49, 62], u'text': u'NormanReedus'}, {u'indices': [109, 118], u'text': u'SDCC2016'}]
neutral;27.07.2016 11:09;Animation by Aulty ;[]
neutral;27.07.2016 10:40;"Anybody got a FTWD / TWD lanyard from SDCC2016 they wanna send me.?  
Just throwing it out there";[{u'indices': [14, 19], u'text': u'FTWD'}, {u'indices': [22, 26], u'text': u'TWD'}, {u'indices': [40, 49], u'text': u'SDCC2016'}]
neutral;27.07.2016 10:43;Anyone got a FearTWD / TWD lanyard from SDCC2016 they wanna send me..? Just throwing it out there;[{u'indices': [13, 21], u'text': u'FearTWD'}, {u'indices': [24, 28], u'text': u'TWD'}, {u'indices': [42, 51], u'text': u'SDCC2016'}]
positiv;27.07.2016 11:32;"As an 8 yr old I idolized Sir Keaton in a cape &amp; at 35 I find myself loving  in the same albeit diff garb ";[]
neutral;27.07.2016 12:05;As, hopefully, a precursor to proper articles, here's me on the SDCC trailers.  ;[]
negativ;27.07.2016 10:45;At least they aren't litterng their career paths with such rubbish as integrity and creativity. ;[]
neutral;27.07.2016 09:55;At SDCC  two different producers said that next year they wanted a yacht. 10 years ago it was comic publishers who said this. Times change.;[{u'indices': [3, 8], u'text': u'SDCC'}]
positiv;27.07.2016 11:58;aw melanie and dom, so damn cute  ;[]
positiv;27.07.2016 11:06;awesome pic!! ;[]
positiv;27.07.2016 09:56;Awesome!! ;[]
neutral;27.07.2016 10:09;Beach Wars! tee Stormtroopers starwars rogueone summer beach sdcc  ;[{u'indices': [12, 16], u'text': u'tee'}, {u'indices': [17, 31], u'text': u'Stormtroopers'}, {u'indices': [32, 41], u'text': u'starwars'}, {u'indices': [42, 51], u'text': u'rogueone'}, {u'indices': [52, 59], u'text': u'summer'}, {u'indices': [60, 66], u'text': u'beach'}, {u'indices': [67, 72], u'text': u'sdcc'}]
positiv;27.07.2016 10:24;Beautiful TheOriginals SDCC2016 ;[{u'indices': [10, 23], u'text': u'TheOriginals'}, {u'indices': [24, 33], u'text': u'SDCC2016'}]
negativ;27.07.2016 12:00;Beb  are you ok? Haven't seen you post any twit after SDCC  :'(;[]
neutral;27.07.2016 10:24;Benedict Cumberbatch interview at SDCC 2016 with ET Canada ;[]
neutral;27.07.2016 11:00;Best Toys 4 SDCC COMIC CON MARVEL AvengerS CELL PHONE CREDIT CARD MONEY HOLDER SET  Gifts ;[{u'indices': [0, 5], u'text': u'Best'}, {u'indices': [6, 11], u'text': u'Toys'}, {u'indices': [36, 45], u'text': u'AvengerS'}, {u'indices': [110, 116], u'text': u'Gifts'}]
positiv;27.07.2016 10:26;Boy? Like me? Let's get acquainted!Do not wait! ;[]
negativ;27.07.2016 11:22;but like, was the gag reel shown at sdcc just a preview? because it was awfully short;[]
positiv;27.07.2016 11:03;"Can't wait 

SuicideSquad SDCC2016";[{u'indices': [36, 49], u'text': u'SuicideSquad'}, {u'indices': [50, 59], u'text': u'SDCC2016'}]
positiv;27.07.2016 09:46;Can't wait! ;[]
neutral;27.07.2016 11:59;Couldn't make it to SDDC2016? Dave's got you covered. ;[{u'indices': [20, 29], u'text': u'SDDC2016'}]
positiv;27.07.2016 11:20;"Cure your hump day blues with our recap of SDCC2016 &amp;amp; YOUR top 5 movie villains! PodernFamily  MORE &gt;&gt; ";[{u'indices': [43, 52], u'text': u'SDCC2016'}, {u'indices': [90, 103], u'text': u'PodernFamily'}]
positiv;27.07.2016 10:23;Cuties TVDForever SDCC2016 ;[{u'indices': [7, 18], u'text': u'TVDForever'}, {u'indices': [19, 28], u'text': u'SDCC2016'}]
neutral;27.07.2016 10:42;D23 and SDCC are a week apart next year. RIP.;[]
negativ;27.07.2016 11:44;Damn!!!!!!!!!!!!!!  ;[]
neutral;27.07.2016 10:59;Daniel Gillies Interview - THE ORIGINALS SEASON 4 by  SDCC TheOriginals - ;[{u'indices': [63, 68], u'text': u'SDCC'}, {u'indices': [69, 82], u'text': u'TheOriginals'}]
positiv;27.07.2016 11:22;Dave's Nerd Compendium talks about the biggest comic con of the year - SDCC2016!  podcast podbros ComicCon;[{u'indices': [71, 80], u'text': u'SDCC2016'}, {u'indices': [106, 114], u'text': u'podcast'}, {u'indices': [115, 123], u'text': u'podbros'}, {u'indices': [124, 133], u'text': u'ComicCon'}]
positiv;27.07.2016 11:33;DC/WB pretty much won SDCC. ;[]
positiv;27.07.2016 10:49;Definitely the greatest shot in the SDCC SuicideSquad trailer. TheJoker and HarleyQuinn doing what they do best ;[{u'indices': [36, 41], u'text': u'SDCC'}, {u'indices': [42, 55], u'text': u'SuicideSquad'}, {u'indices': [65, 74], u'text': u'TheJoker'}, {u'indices': [79, 91], u'text': u'HarleyQuinn'}]
positiv;27.07.2016 11:21;each one of us has been blessed in many different ways thank you sdcc;[]
positiv;27.07.2016 11:07;Every time I try to say I'm done collecting toys new awesome toys are announced.  ;[]
neutral;27.07.2016 11:45;"FANS  SAVEFATNFURIOUS 
  SDCC        ";[{u'indices': [6, 22], u'text': u'SAVEFATNFURIOUS'}, {u'indices': [43, 48], u'text': u'SDCC'}]
neutral;27.07.2016 10:22;Favs TVDForever SDCC2016 ;[{u'indices': [5, 16], u'text': u'TVDForever'}, {u'indices': [17, 26], u'text': u'SDCC2016'}]
neutral;27.07.2016 11:05;Fiction 'Verse is out!  step into the cyberverse of publishing. sdcc2016 plnws;[{u'indices': [87, 96], u'text': u'sdcc2016'}, {u'indices': [97, 103], u'text': u'plnws'}]
neutral;27.07.2016 11:57;Fight Club Action Doll da Blitzwat SDCC2016;[{u'indices': [35, 44], u'text': u'SDCC2016'}]
neutral;27.07.2016 10:38;Final SDCC Cosplay Gallery -   via ;[]
positiv;27.07.2016 11:40;Finally had a chance to catch up on SDCC news! Flash looks awesome, Cyborg is... kinda offputting.... but Aquaman is totally badass!;[{u'indices': [36, 41], u'text': u'SDCC'}]
neutral;27.07.2016 09:45;"Find out where the cast of FearTWD want their characters to go. SDCC
";[{u'indices': [27, 35], u'text': u'FearTWD'}, {u'indices': [65, 70], u'text': u'SDCC'}]
neutral;27.07.2016 11:47;First Kong: Skull Island Trailer Has Landed At Comic-Con  TomHiddleston BrieLarson SDCC ;[{u'indices': [81, 95], u'text': u'TomHiddleston'}, {u'indices': [96, 107], u'text': u'BrieLarson'}, {u'indices': [108, 113], u'text': u'SDCC'}]
neutral;27.07.2016 11:02;FOLLOW  cosplay, deadpool, comic con, sdcc2016, san diego comic con, san diego comic con 2016, its lit ;[{u'indices': [0, 7], u'text': u'FOLLOW'}, {u'indices': [8, 11], u'text': u''}]
neutral;27.07.2016 11:31;From Arrow to Walking Dead: Every TV and movie trailer that dropped at SDCC ;[]
neutral;27.07.2016 10:50;funkopops  FUNKO POP 2015 SDCC DC FLASH TV SERIES THE FLASH UNMASKED 214 Rare!  ;[{u'indices': [0, 10], u'text': u'funkopops'}]
neutral;27.07.2016 11:51;funkopops  Funko Pop SDCC 2016 Marvel Collector Corps Hobgoblin Year One Box Exclusive  ;[{u'indices': [0, 10], u'text': u'funkopops'}]
neutral;27.07.2016 11:00;"grantgust: 

When your brother,  is a professional photographer and is working with WB at SDCC... ";[{u'indices': [102, 107], u'text': u'SDCC'}]
neutral;27.07.2016 12:05;GuardiansOfTheGalaxyVol2 Comic Con Trailer Breakdown SDCC2016  ;[{u'indices': [0, 25], u'text': u'GuardiansOfTheGalaxyVol2'}, {u'indices': [54, 63], u'text': u'SDCC2016'}]
positiv;27.07.2016 10:42;HappyHumpDay! The optimist says yes yes don't stop! ManHug TomHiddleston ZacharyLevi SDCC2016 hcjl16 d27 ;[{u'indices': [0, 13], u'text': u'HappyHumpDay'}, {u'indices': [53, 60], u'text': u'ManHug'}, {u'indices': [61, 75], u'text': u'TomHiddleston'}, {u'indices': [76, 88], u'text': u'ZacharyLevi'}, {u'indices': [89, 98], u'text': u'SDCC2016'}, {u'indices': [99, 106], u'text': u'hcjl16'}]
neutral;27.07.2016 10:08;Harambe's tribute movie  ;[]
neutral;27.07.2016 11:07;Have you listened to this weeks podcast? Our SDCC recap Ep. 129:Now We Live In The Trailerpark NWGLS Podernfamily ;[{u'indices': [45, 50], u'text': u'SDCC'}, {u'indices': [96, 102], u'text': u'NWGLS'}, {u'indices': [103, 116], u'text': u'Podernfamily'}]
positiv;27.07.2016 11:12;Have you voted on favorite trailer from SDCC2016? 4 hrs left in the poll! Marvel DC Movies ;[{u'indices': [40, 49], u'text': u'SDCC2016'}, {u'indices': [69, 74], u'text': u'poll'}, {u'indices': [76, 83], u'text': u'Marvel'}, {u'indices': [84, 87], u'text': u'DC'}, {u'indices': [88, 95], u'text': u'Movies'}]
neutral;27.07.2016 09:46;he 2 big  ;[]
neutral;27.07.2016 09:57;"Her Universe Fashion Show- Marvel, Wall-E, Game of Thrones &amp; More! SDCC 2016:  via ";[]
positiv;27.07.2016 11:56;He's talking about at Hall H, to the public maybe not. Tbh the fans won SDCC 2016 was amazing. ;[]
positiv;27.07.2016 11:07;Hi  .Huge fan of CR for a while. I saw you guys were  SDCC. I'm traveling to NYCC this year and I hope u guys go there too!;[{u'indices': [69, 74], u'text': u'SDCC'}, {u'indices': [93, 98], u'text': u'NYCC'}]
neutral;27.07.2016 10:20;Hot damn TVDForever SDCC2016 ;[{u'indices': [9, 20], u'text': u'TVDForever'}, {u'indices': [21, 30], u'text': u'SDCC2016'}]
neutral;27.07.2016 11:50;"I acquired a pet named Proxy
wigwednesday sdcc2016 lolita steampunk gothiclolitawigs glw drabbit dragon ";[{u'indices': [29, 42], u'text': u'wigwednesday'}, {u'indices': [43, 52], u'text': u'sdcc2016'}, {u'indices': [53, 60], u'text': u'lolita'}, {u'indices': [61, 71], u'text': u'steampunk'}, {u'indices': [72, 89], u'text': u'gothiclolitawigs'}, {u'indices': [90, 94], u'text': u'glw'}, {u'indices': [95, 103], u'text': u'drabbit'}, {u'indices': [104, 111], u'text': u'dragon'}]
neutral;27.07.2016 10:18;I added a video to a  playlist  SDCC 2016 - My Recap;[]
neutral;27.07.2016 10:06;I added a video to a  playlist  Sdcc 2016 supernatural cast Jensen Ackles Facebook livestream Misha;[]
neutral;27.07.2016 10:06;I added a video to a  playlist  SDCC 2016 Supernatural cast Misha Collins facebook livestream;[]
neutral;27.07.2016 10:04;I added a video to a  playlist  Supernatural season 11 gag reel SDCC 2016;[]
neutral;27.07.2016 10:04;I added a video to a  playlist  Supernatural season 12 Teaser - Soon! SDCC 2016;[]
negativ;27.07.2016 10:27;I disagree with this. Bring back Mark Pellegrino please. ;[]
positiv;27.07.2016 10:57;I think it's one of the cw producers or what so ever who gave them the idea about s5 I have a good feeling about it ;[]
positiv;27.07.2016 11:57;I WASNT THERE BUT I WANT THIS T SHI SO BAD ;[]
neutral;27.07.2016 11:00;IDW Announces 'Misfits' Series Spinning Out Of 'Jem And The Holograms' [SDCC 2016]  ;[]
neutral;27.07.2016 10:13;If anyone has pics of me from SDCC 2016....  it's either Eric, or Alex..  :P;[]
positiv;27.07.2016 10:16;If you're bored, . Let's play? I wait here! ;[]
positiv;27.07.2016 11:46;If you've not read it already, watch this. This was one of the funniest court transcripts I ever read. ;[]
negativ;27.07.2016 10:59;I'LL JUMP OFF A CLIFF IF HE ISN'T TALKING ABOUT BELLARKE ;[]
negativ;27.07.2016 10:21;I'm a tad emotional right now TVDForever SDCC2016 ;[{u'indices': [30, 41], u'text': u'TVDForever'}, {u'indices': [42, 51], u'text': u'SDCC2016'}]
positiv;27.07.2016 11:03;"Im BATMAN!
Cant wait for the new Movie. ";[]
neutral;27.07.2016 11:09;I'm here for this! ;[]
positiv;27.07.2016 11:19;Im in love ;[]
positiv;27.07.2016 10:24;I'm so ready for this 5 year time jump TheOriginals SDCC2016 ;[{u'indices': [39, 52], u'text': u'TheOriginals'}, {u'indices': [53, 62], u'text': u'SDCC2016'}]
negativ;27.07.2016 11:34;I'm totes jelly. ;[]
positiv;27.07.2016 10:47;I'm watching all my favorite sdcc panels;[]
neutral;27.07.2016 11:02;"Instavid of Taylor's publicist Rogers &amp; Cowan SDCC2016 
";[{u'indices': [50, 59], u'text': u'SDCC2016'}]
neutral;27.07.2016 10:16;Is it only Canadians and Americans?  ;[]
positiv;27.07.2016 11:32;"Is this idiot emotional FOR her?? Because the entire SDCC wished her 'happy birthday'??
He's happy bc she's happy... ";[]
negativ;27.07.2016 10:58;It would have happened either way...it sucks but it happens. ;[]
neutral;27.07.2016 11:51;It's that time of the week again Spartans!   ;[]
neutral;27.07.2016 11:35;It's time for a new DNC in which I cover SDCC  PodernFamily Podbros podcast nerd geek;[{u'indices': [20, 24], u'text': u'DNC'}, {u'indices': [42, 47], u'text': u'SDCC'}, {u'indices': [72, 85], u'text': u'PodernFamily'}, {u'indices': [86, 94], u'text': u'Podbros'}, {u'indices': [95, 103], u'text': u'podcast'}, {u'indices': [104, 109], u'text': u'nerd'}, {u'indices': [110, 115], u'text': u'geek'}]
neutral;27.07.2016 12:07;I've watched this gif too many times ;[]
neutral;27.07.2016 10:27;J SCOTT CAMPBELL LITTLE RED RIDING HOOD SDCC 2016 SIGNATURE EDITION A PRINT   ;[]
positiv;27.07.2016 11:05;Kong Island trailer is kinda cool. Curious to see it. ;[]
neutral;27.07.2016 10:12;Kong: Skull Island (2017) Trailer 1 1080p FLAC 7.1 and AC3 5.1 kongskullisland SDCC ;[{u'indices': [63, 79], u'text': u'kongskullisland'}, {u'indices': [80, 85], u'text': u'SDCC'}]
neutral;27.07.2016 11:55;Last chance! 2016 SDCC Summer Convention Exclusive Patriotic Peanuts Snoopy Funko Pop  SDCC2016 CharlieBrown;[{u'indices': [61, 69], u'text': u'Peanuts'}, {u'indices': [70, 77], u'text': u'Snoopy'}, {u'indices': [78, 84], u'text': u'Funko'}, {u'indices': [85, 89], u'text': u'Pop'}, {u'indices': [114, 123], u'text': u'SDCC2016'}, {u'indices': [124, 137], u'text': u'CharlieBrown'}]
neutral;27.07.2016 12:01;"Lego Ironman &amp; Captain America Brickheadz SDCC 2016 Set 41492 | Unbox Build Time Lapse Review:  via ";[]
neutral;27.07.2016 12:10;Liked on YouTube: South Park SDCC 2016: Trump's return? ;[]
neutral;27.07.2016 11:00;LIVE on Periscope: I'm just and these niggas turnt it's too early for this sdcc rncincle easteregg birthday  ;[{u'indices': [8, 18], u'text': u'Periscope'}, {u'indices': [76, 81], u'text': u'sdcc'}, {u'indices': [82, 91], u'text': u'rncincle'}, {u'indices': [92, 102], u'text': u'easteregg'}, {u'indices': [103, 112], u'text': u'birthday'}]
